time_s,volts
8.36e-05,0.000191533417
8.38e-05,0.000170980011
8.4e-05,0.000147514019
8.42e-05,0.000121480714
8.44e-05,9.3269549e-05
8.46e-05,6.3308371e-05
8.48e-05,3.20569596e-05
8.5e-05,-3.77974169e-19
8.52e-05,-3.236041e-05
8.54e-05,-6.45126017e-05
8.56e-05,-9.59434026e-05
8.58e-05,-0.000126146304
8.6e-05,-0.0001546296
8.62e-05,-0.000180924358
8.64e-05,-0.000204592117
8.66e-05,-0.000225232148
8.68e-05,-0.0002424882
8.7e-05,-0.000256054588
8.72e-05,-0.000265681528
8.74e-05,-0.000271179639
8.76e-05,-0.000272423512
8.78e-05,-0.000269354297
8.8e-05,-0.000261981251
8.82e-05,-0.000250382208
8.84e-05,-0.000234702969
8.86e-05,-0.000215155592
8.88e-05,-0.000192015615
8.9e-05,-0.000165618243
8.92e-05,-0.000136353541
8.94e-05,-0.000104660717
8.96e-05,-7.10215651e-05
8.98e-05,-3.59531733e-05
9e-05,-6.35168434e-19
9.02e-05,3.62745536e-05
9.04e-05,7.22969498e-05
9.06e-05,0.00010749256
9.08e-05,0.000141294806
9.1e-05,0.00017315426
9.12e-05,0.000202547542
9.14e-05,0.000228985887
9.16e-05,0.000252023233
9.18e-05,0.0002712637
9.2e-05,0.000286368334
9.22e-05,0.000297060999
9.24e-05,0.000303133325
9.26e-05,0.000304448613
9.28e-05,0.000300944634
9.3e-05,0.000292635265
9.32e-05,0.000279610927
9.34e-05,0.000262037803
9.36e-05,0.000240155843
9.38e-05,0.000214275582
9.4e-05,0.000184773795
9.42e-05,0.000152088071
9.44e-05,0.000116710361
9.46e-05,7.91796126e-05
9.48e-05,4.00735884e-05
9.5e-05,1.88785402e-18
9.52e-05,-4.04129122e-05
9.54e-05,-8.05262055e-05
9.56e-05,-0.000119700314
9.58e-05,-0.000157305221
9.6e-05,-0.000192730569
9.62e-05,-0.000225395535
9.64e-05,-0.000254758321
9.66e-05,-0.000280325105
9.68e-05,-0.000301658291
9.7e-05,-0.000318383947
9.72e-05,-0.000330198277
9.74e-05,-0.00033687304
9.76e-05,-0.000338259798
9.78e-05,-0.000334292941
9.8e-05,-0.000324991412
9.82e-05,-0.000310459091
9.84e-05,-0.000290883849
9.86e-05,-0.000266535234
9.88e-05,-0.000237760856
9.9e-05,-0.000204981489
9.92e-05,-0.000168684973
9.94e-05,-0.000129418995
9.96e-05,-8.77828603e-05
9.98e-05,-4.441838e-05
0.0001,-8.71522697e-19
0.0001002,4.47756618e-05
0.0001004,8.92007187e-05
0.0001006,0.000132567184
0.0001008,0.000174178229
0.000101,0.000213359358
0.0001012,0.000249469308
0.0001014,0.000281910516
0.0001016,0.000310138966
0.0001018,0.000333673264
0.000102,0.000352102786
0.0001022,0.00036509477
0.0001024,0.000372400216
0.0001026,0.000373858504
0.0001028,0.000369400638
0.000103,0.000359051066
0.0001032,0.000342928012
0.0001034,0.000321242334
0.0001036,0.000294294885
0.0001038,0.000262472436
0.000104,0.000226242184
0.0001042,0.000186144953
0.0001044,0.000142787157
0.0001046,9.6831674e-05
0.0001048,4.89877328e-05
0.000105,-3.84883223e-19
0.0001052,-4.93629878e-05
0.0001054,-9.83208581e-05
0.0001056,-0.000146093717
0.0001058,-0.000191914548
0.000106,-0.000235041503
0.0001062,-0.000274769885
0.0001064,-0.000310443625
0.0001066,-0.000341466085
0.0001068,-0.000367309979
0.000107,-0.000387526285
0.0001072,-0.000401751961
0.0001074,-0.000409716365
0.0001076,-0.000411246244
0.0001078,-0.000406269216
0.000108,-0.000394815675
0.0001082,-0.000377019069
0.0001084,-0.000353114547
0.0001086,-0.000323435977
0.0001088,-0.000288411372
0.000109,-0.000248556783
0.0001092,-0.000204468751
0.0001094,-0.000156815417
0.0001096,-0.000106326438
0.0001098,-5.37818408e-05
0.00011,-4.22049509e-18
0.0001102,5.41750849e-05
0.0001104,0.000107887011
0.0001106,0.000160280487
0.0001108,0.000210514931
0.000111,0.000257777927
0.0001112,0.00030129834
0.0001114,0.00034035886
0.0001116,0.00037430779
0.0001118,0.000402569866
